image_id,room,source_path,width,height,mean_luminance,luminance_std,luminance_p05,luminance_p95,dynamic_range_p95_p05,dark_area_ratio,bright_area_ratio,highlight_area_ratio,local_contrast_mean,spatial_layering_std,luminance_entropy,warm_pixel_ratio,warmth_index,bright_region_count,bright_region_concentration,highlight_center_x,highlight_center_y
bedroom/direct-multi-agent-r01.png,bedroom,D:/_0000上海交通大学/prp/smart-lighting-research/analysis/approach-comparison/images/bedroom/direct-multi-agent-r01.png,1024,1536,0.204234,0.152561,0.062745,0.494118,0.431373,0.618149,0.003172,0.002162,0.034296,0.076053,0.816584,0.381584,0.098775,0,0.0,0.126506,0.383559
bedroom/direct-multi-agent-r02.png,bedroom,D:/_0000上海交通大学/prp/smart-lighting-research/analysis/approach-comparison/images/bedroom/direct-multi-agent-r02.png,1024,1536,0.199545,0.149733,0.062745,0.498039,0.435294,0.632564,0.002687,0.001768,0.033967,0.075739,0.819356,0.367203,0.08172,0,0.0,0.126451,0.382861
bedroom/evidence-pipeline-r01.png,bedroom,D:/_0000上海交通大学/prp/smart-lighting-research/analysis/approach-comparison/images/bedroom/evidence-pipeline-r01.png,1024,1536,0.162276,0.138626,0.043137,0.431373,0.388235,0.67695,0.001909,0.001287,0.032194,0.07549,0.783488,0.322807,0.085036,0,0.0,0.126543,0.381085
bedroom/evidence-pipeline-r02.png,bedroom,D:/_0000上海交通大学/prp/smart-lighting-research/analysis/approach-comparison/images/bedroom/evidence-pipeline-r02.png,1024,1536,0.158712,0.137585,0.039216,0.419608,0.380392,0.682842,0.002797,0.002054,0.032615,0.069383,0.786332,0.316912,0.091372,0,0.0,0.126017,0.384186
living_room/direct-multi-agent-r01.png,living_room,D:/_0000上海交通大学/prp/smart-lighting-research/analysis/approach-comparison/images/living_room/direct-multi-agent-r01.png,1086,1448,0.264059,0.210279,0.015686,0.67451,0.658824,0.451264,0.020007,0.005961,0.090166,0.097261,0.926287,0.548258,0.138338,0,0.0,0.41108,0.305243
living_room/direct-multi-agent-r02.png,living_room,D:/_0000上海交通大学/prp/smart-lighting-research/analysis/approach-comparison/images/living_room/direct-multi-agent-r02.png,1086,1448,0.257329,0.215393,0.019608,0.694118,0.67451,0.468514,0.024128,0.008151,0.090372,0.099974,0.920327,0.529488,0.130584,0,0.0,0.388399,0.33708
living_room/evidence-pipeline-r01.png,living_room,D:/_0000上海交通大学/prp/smart-lighting-research/analysis/approach-comparison/images/living_room/evidence-pipeline-r01.png,1086,1448,0.283257,0.229534,0.023529,0.741176,0.717647,0.437837,0.034787,0.015158,0.096337,0.108082,0.933803,0.556739,0.133617,0,0.0,0.398249,0.340504
living_room/evidence-pipeline-r02.png,living_room,D:/_0000上海交通大学/prp/smart-lighting-research/analysis/approach-comparison/images/living_room/evidence-pipeline-r02.png,1086,1448,0.284368,0.224992,0.023529,0.72549,0.701961,0.436236,0.02663,0.009716,0.092748,0.106717,0.935677,0.552326,0.12793,0,0.0,0.401251,0.323478
study/direct-multi-agent-r01.png,study,D:/_0000上海交通大学/prp/smart-lighting-research/analysis/approach-comparison/images/study/direct-multi-agent-r01.png,1536,1024,0.180533,0.165965,0.027451,0.560784,0.533333,0.71327,0.014207,0.006464,0.046786,0.067104,0.843821,0.123727,-0.031629,1,1.0,0.325277,0.640304
study/direct-multi-agent-r02.png,study,D:/_0000上海交通大学/prp/smart-lighting-research/analysis/approach-comparison/images/study/direct-multi-agent-r02.png,1536,1024,0.18021,0.153776,0.035294,0.509804,0.47451,0.710203,0.009916,0.004779,0.04378,0.058881,0.84002,0.125982,-0.0256,0,0.0,0.289184,0.611392
study/evidence-pipeline-r01.png,study,D:/_0000上海交通大学/prp/smart-lighting-research/analysis/approach-comparison/images/study/evidence-pipeline-r01.png,1536,1024,0.149714,0.146786,0.019608,0.458824,0.439216,0.818047,0.00919,0.003994,0.041311,0.055962,0.81178,0.097887,-0.023843,0,0.0,0.303071,0.608161
study/evidence-pipeline-r02.png,study,D:/_0000上海交通大学/prp/smart-lighting-research/analysis/approach-comparison/images/study/evidence-pipeline-r02.png,1536,1024,0.151968,0.147139,0.027451,0.470588,0.443137,0.821372,0.008567,0.00443,0.041059,0.057111,0.807194,0.09926,-0.023522,0,0.0,0.280083,0.609148
