image_id,room,source_path,width,height,mean_luminance,luminance_std,luminance_p05,luminance_p95,dynamic_range_p95_p05,dark_area_ratio,bright_area_ratio,highlight_area_ratio,local_contrast_mean,spatial_layering_std,luminance_entropy,warm_pixel_ratio,warmth_index,bright_region_count,bright_region_concentration,highlight_center_x,highlight_center_y
bedroom/bedroom_01_pexels_6510419.jpg,bedroom,data/raw/base_images/bedroom/bedroom_01_pexels_6510419.jpg,1920,1280,0.556845,0.21817,0.188235,0.870588,0.682353,0.089744,0.132007,0.043004,0.041596,0.133755,0.931974,0.105861,-0.004149,4,0.460449,0.231522,0.459841
bedroom/bedroom_02_pexels_7031710.jpg,bedroom,data/raw/base_images/bedroom/bedroom_02_pexels_7031710.jpg,1920,1281,0.620688,0.18471,0.298039,0.917647,0.619608,0.02678,0.179323,0.075354,0.044126,0.122798,0.937801,0.208711,0.047184,5,0.387356,0.570044,0.364798
bedroom/bedroom_03_pexels_6121088.jpg,bedroom,data/raw/base_images/bedroom/bedroom_03_pexels_6121088.jpg,1920,1561,0.656551,0.189687,0.254902,0.968627,0.713725,0.038284,0.158876,0.112712,0.058421,0.077676,0.906489,0.648724,0.1104,7,0.326893,0.452516,0.372013
bedroom/bedroom_04_pexels_6510417.jpg,bedroom,data/raw/base_images/bedroom/bedroom_04_pexels_6510417.jpg,1920,1280,0.531167,0.253652,0.07451,0.898039,0.823529,0.146103,0.129816,0.071213,0.058182,0.170658,0.969636,0.064219,0.007135,5,0.528965,0.288162,0.402723
bedroom/bedroom_05_pexels_7546559.jpg,bedroom,data/raw/base_images/bedroom/bedroom_05_pexels_7546559.jpg,1920,1281,0.698717,0.173475,0.298039,0.909804,0.611765,0.017187,0.296953,0.073056,0.035363,0.12338,0.900307,0.490586,0.06385,1,1.0,0.596476,0.745753
bedroom/bedroom_06_pexels_3933240.jpg,bedroom,data/raw/base_images/bedroom/bedroom_06_pexels_3933240.jpg,1920,2880,0.614322,0.282116,0.094118,0.94902,0.854902,0.111978,0.352873,0.261084,0.042351,0.229508,0.955918,0.364363,0.060804,3,0.924108,0.521447,0.193381
hallway/hallway_01_pexels_6903159.jpg,hallway,data/raw/base_images/hallway/hallway_01_pexels_6903159.jpg,1920,1282,0.370559,0.188931,0.164706,0.811765,0.647059,0.090094,0.063265,0.003444,0.036024,0.123196,0.881318,0.000259,-0.020081,0,0.0,0.508381,0.266504
hallway/hallway_02_pexels_6580384.jpg,hallway,data/raw/base_images/hallway/hallway_02_pexels_6580384.jpg,1920,2877,0.380874,0.219608,0.105882,0.811765,0.705882,0.155239,0.060137,0.0202,0.039976,0.142415,0.939426,0.260376,0.075499,2,0.674306,0.240648,0.571387
hallway/hallway_03_pexels_6489085.jpg,hallway,data/raw/base_images/hallway/hallway_03_pexels_6489085.jpg,1920,1310,0.597688,0.164188,0.286275,0.870588,0.584314,0.021926,0.082641,0.045854,0.030934,0.092977,0.908912,0.054069,0.00536,2,0.541462,0.312752,0.600947
hallway/hallway_04_pexels_7018386.jpg,hallway,data/raw/base_images/hallway/hallway_04_pexels_7018386.jpg,1920,1282,0.547148,0.17984,0.247059,0.847059,0.6,0.020885,0.072148,0.027136,0.040551,0.103499,0.925957,0.530648,0.067334,5,0.276465,0.459801,0.639475
